F_Name,L_Name,SSN,Office_Loc,postcode,year_of_birth
David,Fleming,194344734,Seattle,27659,1990
Fred,Williams,427570156,Seattle,40204,1933
Michelle,Rose,777155550,New York,98560,1969
Randy,Williams,497486911,Charlotte,60092,2001
Rachel,Edwards,468821636,New York,21570,2002
Candice,Hernandez,846442277,Miami,23518,1984
David,Pratt,738431459,New York,44641,1974
Matthew,Martin,592132342,Los Angeles,83467,1984
Theresa,Black,562314281,Charlotte,13327,1948
Barbara,Taylor,475931281,New York,53801,1998
Kenneth,Hernandez,423563186,Miami,93522,1999
Christy,Leon,486386023,Miami,62870,2002
Mary,Donaldson,296818464,Seattle,27888,1937
Stefanie,Baker,646408011,Miami,28039,1952
Dennis,Franklin,300144172,New York,16233,2000
Crystal,White,115280709,Los Angeles,35636,1997
John,Levy,757280117,Los Angeles,68364,1980
Joyce,Cruz,677463317,Miami,22042,1969
Stacy,Brown,329277261,New York,76969,1943
Lisa,Jenkins,627366426,Miami,33324,1955
Joseph,Jones,775317244,Seattle,30073,1932
Gregory,Romero,143027204,New York,96990,1937
Amber,Bullock,563647215,Miami,73407,1986
Cynthia,Matthews,300259006,Charlotte,79687,1967
Alexander,Martinez,344045598,New York,82365,1985
Brandon,Cherry,375349963,New York,38314,1997
Rebecca,Branch,852138619,Los Angeles,62497,1983
Jennifer,Guzman,847281481,Miami,55963,1957
Billy,Gray,239065307,Seattle,17438,1995
Cindy,Alvarez,350900945,Charlotte,84965,1955
Selena,Robertson,652812471,Charlotte,98230,1950
Samuel,Quinn,626477731,Miami,76520,1945
Joseph,Gilbert,371652385,Los Angeles,65447,2005
Brian,Scott,324834263,Miami,24965,1952
Richard,Lin,933941565,Seattle,39389,1951
Daniel,Lopez,677929663,New York,24853,1981
Kevin,Bryant,302693283,Charlotte,46987,1958
Jacqueline,Wright,373347995,Los Angeles,84788,1954
Chris,Garcia,388564216,Charlotte,76355,1979
Jacob,Roberts,141479084,Charlotte,93169,1954
Jonathan,Benson,282623634,Miami,53701,1989
Derek,Wu,316797838,Miami,20392,1957
Haley,Davenport,797681101,Los Angeles,75596,1940
Jim,Miller,482699949,Seattle,82646,1935
Steven,Smith,117819524,Seattle,79193,1979
Kelly,Lewis,463911323,New York,91207,1950
